old	new
C1orf140	C1orf140
RP11-103C3.1	RP11-103C3.1
RP11-103C3.2	RP11-103C3.2
DUSP10	DUSP10
RP11-191N8.2	RP11-191N8.2
RNU6-403P	RNU6-403P
RP11-815M8.1	RP11-815M8.1
RP11-400N13.2	RP11-400N13.2
RP11-400N13.3	RP11-400N13.3
RP11-400N13.1	RP11-400N13.1
QRSL1P2	QRSL1P2
RP11-358H9.1	RP11-358H9.1
CICP13	CICP13
RP11-378J18.9	RP11-378J18.9
RNU6-791P	RNU6-791P
RP11-378J18.10	RP11-378J18.10
HHIPL2	HHIPL2
TAF1A	TAF1A
TAF1A-AS1	TAF1A-AS1
MIA3	MIA3
RP11-378J18.6	RP11-378J18.6
RP11-378J18.8	RP11-378J18.8
AIDA	AIDA
BROX	BROX
FAM177B	FAM177B
RP11-452F19.3	RP11-452F19.3
RP11-455P21.3	RP11-455P21.3
DISP1	DISP1
NDUFB1P2	NDUFB1P2
TLR5	TLR5
RP11-239E10.2	RP11-239E10.2
RP11-239E10.3	RP11-239E10.3
SUSD4	SUSD4
RNU4-57P	RNU4-57P
CCDC185	CCDC185
CAPN8	CAPN8
SNRPEP10	SNRPEP10
RNU6-1248P	RNU6-1248P
CAPN2	CAPN2
TP53BP2	TP53BP2
PHBP11	PHBP11
ACTBP11	ACTBP11
CICP5	CICP5
GTF2IP20	GTF2IP20
RNU6-1319P	RNU6-1319P
RP11-504P24.3	RP11-504P24.3
RP11-504P24.9	RP11-504P24.9
RP11-504P24.5	RP11-504P24.5
RN7SKP49	RN7SKP49
FBXO28	FBXO28
RP11-365O16.1	RP11-365O16.1
DEGS1	DEGS1
RP11-365O16.3	RP11-365O16.3
RP11-365O16.6	RP11-365O16.6
NVL	NVL
MIR320B2	MIR320B2
RP11-365O16.5	RP11-365O16.5
RNU6-1008P	RNU6-1008P
CNIH4	CNIH4
WDR26	WDR26
MIR4742	MIR4742
CNIH3	CNIH3
AKR1B1P1	AKR1B1P1
RP11-100E13.1	RP11-100E13.1
RP11-100E13.3	RP11-100E13.3
RP11-3L21.2	RP11-3L21.2
RP11-449J1.1	RP11-449J1.1
DNAH14	DNAH14
LBR	LBR
RP11-496N12.6	RP11-496N12.6
RP11-496N12.9	RP11-496N12.9
ENAH	ENAH
RP11-145A3.1	RP11-145A3.1
RP11-145A3.2	RP11-145A3.2
RNU6-1304P	RNU6-1304P
SRP9	SRP9
RP11-145A3.4	RP11-145A3.4
EPHX1	EPHX1
RP11-285F7.2	RP11-285F7.2
TMEM63A	TMEM63A
LEFTY1	LEFTY1
RP4-559A3.7	RP4-559A3.7
PYCR2	PYCR2
RP4-559A3.6	RP4-559A3.6
LEFTY2	LEFTY2
NDUFA3P3	NDUFA3P3
SDE2	SDE2
RP11-396C23.4	RP11-396C23.4
H3F3A	H3F3A
RP11-396C23.2	RP11-396C23.2
RP11-396C23.3	RP11-396C23.3
ACBD3	ACBD3
RP11-275I14.4	RP11-275I14.4
RP11-275I14.2	RP11-275I14.2
MIXL1	MIXL1
LIN9	LIN9
YBX1P9	YBX1P9
RP11-125A15.3	RP11-125A15.3
PARP1	PARP1
RP11-118H4.3	RP11-118H4.3
RP11-118H4.1	RP11-118H4.1
RN7SKP165	RN7SKP165
CDKN2AIPNLP1	CDKN2AIPNLP1
STUM	STUM
ITPKB	ITPKB
ITPKB-IT1	ITPKB-IT1
ITPKB-AS1	ITPKB-AS1
RPS27P5	RPS27P5
PSEN2	PSEN2
ADCK3	COQ8A
RP5-1087E8.2	RP5-1087E8.2
CDC42BPA	CDC42BPA
RP5-1087E8.3	RP5-1087E8.3
RP11-1B20.1	RP11-1B20.1
RP11-211A18.2	RP11-211A18.2
RP11-211A18.1	RP11-211A18.1
CTD-2090I13.1	CTD-2090I13.1
NUCKS1P1	NUCKS1P1
CTD-2090I13.3	CTD-2090I13.3
BTF3P9	BTF3P9
RP11-275O4.4	RP11-275O4.4
FAM166AP5	FAM166AP5
TUBB8P10	TUBB8P10
TUBB8P9	TUBB8P9
FAM166AP4	FAM166AP4
RNA5SP77	RNA5SP77
ZNF678	ZNF678
RP4-566D2.1	RP4-566D2.1
ZNF847P	ZNF847P
SNAP47	SNAP47
JMJD4	JMJD4
SNAP47-AS1	SNAP47-AS1
PRSS38	PRSS38
WNT9A	WNT9A
MIR5008	MIR5008
CICP26	CICP26
SEPT14P17	SEPT14P17
WNT3A	WNT3A
RP5-881P19.7	RP5-881P19.7
ARF1	ARF1
C1orf35	C1orf35
MRPL55	MRPL55
FAM96AP2	FAM96AP2
RP11-520H14.7	RP11-520H14.7
RP11-520H14.1	RP11-520H14.1
GUK1	GUK1
GJC2	GJC2
IBA57-AS1	IBA57-DT
IBA57	IBA57
C1orf145	OBSCN-AS1
OBSCN	OBSCN
RP5-1139B12.2	RP5-1139B12.2
RP5-1139B12.3	RP5-1139B12.3
RP5-1139B12.4	RP5-1139B12.4
RP11-245P10.6	RP11-245P10.6
TRIM11	TRIM11
RP11-245P10.8	RP11-245P10.8
RP11-245P10.4	RP11-245P10.4
TRIM17	TRIM17
HIST3H3	HIST3H3
RPL23AP15	RPL23AP15
HIST3H2A	HIST3H2A
HIST3H2BB	HIST3H2BB
MIR4666A	MIR4666A
HIST3H2BA	HIST3H2BA
RP5-915N17.11	RP5-915N17.11
RNF187	RNF187
BTNL10	BTNL10
RNA5SP19	RNA5SP19
RNA5SP162	RNA5SP162
RNA5S1	RNA5S1
RNA5S2	RNA5S2
RNA5S3	RNA5S3
RNA5S4	RNA5S4
RNA5S5	RNA5S5
RNA5S6	RNA5S6
RNA5S7	RNA5S7
RNA5S8	RNA5S8
RNA5S9	RNA5S9
RNA5S10	RNA5S10
RNA5S11	RNA5S11
RNA5S12	RNA5S12
RNA5S13	RNA5S13
RNA5S14	RNA5S14
RNA5S15	RNA5S15
RNA5S16	RNA5S16
RNA5S17	RNA5S17
RNA5SP18	RNA5SP18
DUSP5P1	DUSP5P1
FTH1P2	FTH1P2
RHOU	RHOU
RP4-799G3.1	RP4-799G3.1
RP4-799G3.2	RP4-799G3.2
RP5-1065P14.3	RP5-1065P14.3
ISCA1P2	ISCA1P2
RP5-1065P14.2	RP5-1065P14.2
RP5-1061H20.5	RP5-1061H20.5
TMEM78	TMEM78
RP5-1061H20.4	RP5-1061H20.4
RP5-1061H20.3	RP5-1061H20.3
RAB4A	RAB4A
SPHAR	SPHAR
RP4-803J11.2	RP4-803J11.2
CCSAP	CCSAP
RNU6-180P	RNU6-180P
RN7SKP276	RN7SKP276
RP5-1068B5.1	RP5-1068B5.1
ACTA1	ACTA1
NUP133	NUP133
RP5-1068B5.5	RP5-1068B5.5
RP4-613A2.1	RP4-613A2.1
ABCB10	ABCB10
RNU4-21P	RNU4-21P
RNA5SP78	RNA5SP78
HMGN2P19	HMGN2P19
TAF5L	TAF5L
URB2	URB2
RP11-108F13.2	RP11-108F13.2
HMGB1P26	HMGB1P26
RP11-286M16.1	RP11-286M16.1
RP11-552D4.1	RP11-552D4.1
GALNT2	GALNT2
RP5-956O18.2	RP5-956O18.2
RP5-956O18.3	RP5-956O18.3
PGBD5	PGBD5
RP4-553F17.1	RP4-553F17.1
RP11-543E8.1	RP11-543E8.1
RP11-543E8.2	RP11-543E8.2
COG2	COG2
AGT	AGT
RP11-99J16__A.2	RP11-99J16__A.2
CAPN9	CAPN9
RNA5SP79	RNA5SP79
RP5-858B6.1	RP5-858B6.1
C1orf198	C1orf198
RP5-858B6.3	RP5-858B6.3
RN7SL837P	RN7SL837P
TTC13	TTC13
ARV1	ARV1
FAM89A	FAM89A
RP11-423F24.3	RP11-423F24.3
RP5-1097F14.1	RP5-1097F14.1
TRIM67	TRIM67
RP5-1097F14.3	RP5-1097F14.3
C1orf131	C1orf131
GNPAT	GNPAT
RNA5SP80	RNA5SP80
EXOC8	EXOC8
SPRTN	SPRTN
EGLN1	EGLN1
SNRPD2P2	SNRPD2P2
RP11-295G20.2	RP11-295G20.2
TSNAX	TSNAX
TSNAX-DISC1	TSNAX-DISC1
LINC00582	LINC00582
DISC1	DISC1
RNU5A-5P	RNU5A-5P
DISC2	DISC2
DISC1-IT1	DISC1-IT1
RP5-865N13.2	RP5-865N13.2
RP5-865N13.1	RP5-865N13.1
RP11-284L19.1	RP11-284L19.1
RN7SL299P	RN7SL299P
SIPA1L2	SIPA1L2
RNU6-1211P	RNU6-1211P
RP11-66A2.1	RP11-66A2.1
RP11-66A2.2	RP11-66A2.2
MAP10	MAP10
RNU1-74P	RNU1-74P
RP4-659I19.1	RP4-659I19.1
NTPCR	NTPCR
PCNX2	PCNX2
RPS7P3	RPS7P3
RP5-862P8.3	RP5-862P8.3
RP5-862P8.2	RP5-862P8.2
RNU4-77P	RNU4-77P
KCNK1	KCNK1
MIR4427	MIR4427
RP11-301G21.1	RP11-301G21.1
SLC35F3	SLC35F3
RAC1P7	RAC1P7
RP4-799P18.2	RP4-799P18.2
RP4-799P18.4	RP4-799P18.4
RP4-799P18.3	RP4-799P18.3
RP4-799P18.5	RP4-799P18.5
MIR4671	MIR4671
RP5-827C21.1	RP5-827C21.1
RP5-827C21.2	RP5-827C21.2
RP5-827C21.6	RP5-827C21.6
RP5-827C21.4	RP5-827C21.4
COA6	COA6
TARBP1	TARBP1
LINC01354	LINC01354
RP5-855F14.2	RP5-855F14.2
U8	SNORD118
IRF2BP2	IRF2BP2
RP4-781K5.2	RP4-781K5.2
LINC00184	LINC00184
RP4-781K5.9	RP4-781K5.9
RP4-781K5.4	RP4-781K5.4
RP4-781K5.5	RP4-781K5.5
RP4-781K5.6	RP4-781K5.6
RP4-781K5.7	RP4-781K5.7
LINC01132	LINC01132
AL360294.1	AL360294.1
RNY4P16	RNY4P16
RN7SL668P	RN7SL668P
RP11-443B7.2	RP11-443B7.2
RP11-443B7.1	RP11-443B7.1
RP11-443B7.3	RP11-443B7.3
LINC01348	LINC01348
RP4-597N16.1	RP4-597N16.1
RP4-597N16.4	RP4-597N16.4
TOMM20	TOMM20
SNORA14B	SNORA14B
RBM34	RBM34
ARID4B	ARID4B
MIR4753	MIR4753
RPL23AP23	RPL23AP23
GGPS1	GGPS1
RP11-382D8.3	RP11-382D8.3
RP11-382D8.5	RP11-382D8.5
TBCE	TBCE
RPS21P1	RPS21P1
B3GALNT2	B3GALNT2
MTCYBP14	MTCYBP14
MTND6P14	MTND6P14
MTND5P19	MTND5P19
MTND4P10	MTND4P10
MTND4LP21	MTND4LP21
MTND3P8	MTND3P8
MTCO3P46	MTCO3P46
GNG4	GNG4
RP11-293G6__B.8	RP11-293G6__B.8
RP11-365D9.1	RP11-365D9.1
LYST	LYST
LDHAP2	LDHAP2
LYST-AS1	LYST-AS1
MIR1537	MIR1537
RNU6-968P	RNU6-968P
RP5-940F7.2	RP5-940F7.2
RP4-580N22.2	RP4-580N22.2
NID1	NID1
RP4-764D2.1	RP4-764D2.1
GPR137B	GPR137B
ERO1B	ERO1B
RNU2-70P	RNU2-70P
RP11-478H16.1	RP11-478H16.1
EDARADD	EDARADD
ENO1P1	ENO1P1
LGALS8	LGALS8
LGALS8-AS1	LGALS8-AS1
RP11-385F5.5	RP11-385F5.5
RP11-385F5.4	RP11-385F5.4
HEATR1	HEATR1
ACTN2	ACTN2
MTR	MTR
RPSAP21	RPSAP21
RPL35P1	RPL35P1
MT1HL1	MT1HL1
RYR2	RYR2
RN7SKP195	RN7SKP195
MIR4428	MIR4428
RP11-193H5.1	RP11-193H5.1
ZP4	ZP4
RP11-193H5.2	RP11-193H5.2
RP11-193H5.9	RP11-193H5.9
RP11-193H5.8	RP11-193H5.8
RP11-193H5.7	RP11-193H5.7
MTRNR2L11	MTRNR2L11
MTCYBP15	MTCYBP15
MTND6P15	MTND6P15
MTND5P18	MTND5P18
YWHAQP9	YWHAQP9
RP11-136B18.1	RP11-136B18.1
RP11-136B18.2	RP11-136B18.2
RNU6-725P	RNU6-725P
LINC01139	LINC01139
RP11-177F15.1	RP11-177F15.1
KRT18P32	KRT18P32
MIPEPP2	MIPEPP2
RP11-307O1.1	RP11-307O1.1
RP11-544D21.2	RP11-544D21.2
CHRM3	CHRM3
CHRM3-AS2	CHRM3-AS2
CHRM3-AS1	CHRM3-AS1
RP11-35L17.3	RP11-35L17.3
RP11-438O11.1	RP11-438O11.1
RPS7P5	RPS7P5
FMN2	FMN2
RP11-567G24.1	RP11-567G24.1
ADH5P3	ADH5P3
RP11-567G24.3	RP11-567G24.3
RP11-177F11.1	RP11-177F11.1
GREM2	GREM2
RP11-467I20.2	RP11-467I20.2
RP11-467I20.4	RP11-467I20.4
RP11-467I20.6	RP11-467I20.6
RP11-467I20.3	RP11-467I20.3
RNU5F-8P	RNU5F-8P
RP11-467I20.5	RP11-467I20.5
RP11-80B9.4	RP11-80B9.4
RP11-80B9.1	RP11-80B9.1
THAP12P8	THAP12P8
RGS7	RGS7
RFKP1	RFKP1
HNRNPA1P42	HNRNPA1P42
RP11-435F13.2	RP11-435F13.2
MIR3123	MIR3123
RP11-306K13.1	RP11-306K13.1
RP11-527D7.1	RP11-527D7.1
FH	FH
KMO	KMO
OPN3	OPN3
CHML	CHML
WDR64	WDR64
RP11-553N16.1	RP11-553N16.1
EXO1	EXO1
RPL23AP20	RPL23AP20
BECN2	BECN2
CFL1P4	CFL1P4
MAP1LC3C	MAP1LC3C
TUBB8P6	TUBB8P6
FAM166AP1	FAM166AP1
PLD5	PLD5
RP11-561I11.4	RP11-561I11.4
RN7SKP12	RN7SKP12
RP11-561I11.3	RP11-561I11.3
RP11-513D4.3	RP11-513D4.3
RPL10AP5	RPL10AP5
RP11-513D4.1	RP11-513D4.1
RP11-435I3.1	RP11-435I3.1
RSL24D1P4	RSL24D1P4
RP11-498M14.1	RP11-498M14.1
RP11-498M14.2	RP11-498M14.2
RP11-331N16.1	RP11-331N16.1
RP11-261C10.1	RP11-261C10.1
LINC01347	LINC01347
SEPT14P21	SEPT14P21
RP11-261C10.8	RP11-261C10.8
RP11-261C10.7	RP11-261C10.7
RNU6-747P	RNU6-747P
CEP170	CEP170
RP11-261C10.5	RP11-261C10.5
RP11-261C10.4	RP11-261C10.4
SDCCAG8	SDCCAG8
FCF1P7	FCF1P7
MIR4677	MIR4677
AKT3	AKT3
RP11-269F20.1	RP11-269F20.1
FABP7P1	FABP7P1
RP11-370K11.1	RP11-370K11.1
AKT3-IT1	AKT3-IT1
RP11-278H7.1	RP11-278H7.1
ZBTB18	ZBTB18
RP11-278H7.5	RP11-278H7.5
RP11-278H7.4	RP11-278H7.4
RN7SL148P	RN7SL148P
RP11-278H7.3	RP11-278H7.3
C1orf100	C1orf100
RP11-518L10.5	RP11-518L10.5
TGIF2P1	TGIF2P1
ADSS	ADSS
C1orf101	CATSPERE
CYCSP5	CYCSP5
DESI2	DESI2
RP11-173A6.2	RP11-173A6.2
RP11-173A6.3	RP11-173A6.3
COX20	COX20
HNRNPU	HNRNPU
RP11-11N7.4	RP11-11N7.4
RN7SKP55	RN7SKP55
RNU6-947P	RNU6-947P
RP11-156E8.1	RP11-156E8.1
EFCAB2	EFCAB2
RNU6-1089P	RNU6-1089P
RNU6-999P	RNU6-999P
RP11-290P14.2	RP11-290P14.2
RNU1-132P	RNU1-132P
KIF26B	KIF26B
RP11-62I21.1	RP11-62I21.1
DNAJC19P8	DNAJC19P8
RP11-522M21.2	RP11-522M21.2
RP11-522M21.3	RP11-522M21.3
SMYD3	SMYD3
RP11-83A16.1	RP11-83A16.1
RP11-36N20.1	RP11-36N20.1
CHCHD4P5	CHCHD4P5
RNU6-1283P	RNU6-1283P
SMYD3-IT1	SMYD3-IT1
RP11-690C23.4	RP11-690C23.4
RP11-690C23.2	RP11-690C23.2
RP11-690C23.5	RP11-690C23.5
RP11-690C23.3	RP11-690C23.3
TFB2M	TFB2M
CNST	CNST
RP11-1086F11.1	RP11-1086F11.1
RP11-452J6.2	RP11-452J6.2
RP11-439E19.9	RP11-439E19.9
RP11-439E19.7	RP11-439E19.7
SCCPDH	SCCPDH
RP11-439E19.6	RP11-439E19.6
KIF28P	KIF28P
RP11-439E19.10	RP11-439E19.10
LINC01341	LINC01341
RP11-397A15.4	RP11-397A15.4
AHCTF1	AHCTF1
ZNF695	ZNF695
ZNF670-ZNF695	ZNF670-ZNF695
RP11-551G24.3	RP11-551G24.3
ZNF670	ZNF670
RP11-551G24.2	RP11-551G24.2
RP11-107G24.3	RP11-107G24.3
ZNF669	ZNF669
C1orf229	C1orf229
FGFR3P6	FGFR3P6
ZNF124	ZNF124
RP11-488L18.6	RP11-488L18.6
RP11-488L18.3	RP11-488L18.3
RP11-488L18.10	RP11-488L18.10
RP11-488L18.4	RP11-488L18.4
RNA5SP82	RNA5SP82
RP11-488L18.8	RP11-488L18.8
RP11-488L18.1	RP11-488L18.1
VN1R17P	VN1R17P
VN1R5	VN1R5
ZNF496	ZNF496
NLRP3	NLRP3
OR2B11	OR2B11
OR2W5	OR2W5
GCSAML	GCSAML
GCSAML-AS1	GCSAML-AS1
OR2C3	OR2C3
RP11-978I15.10	RP11-978I15.10
OR2G2	OR2G2
OR2G3	OR2G3
OR14L1P	OR14L1P
RP11-634B7.4	RP11-634B7.4
OR3D1P	OR3D1P
OR13G1	OR13G1
RP11-634B7.5	RP11-634B7.5
OR6F1	OR6F1
OR14A2	OR14A2
OR14K1	OR14K1
OR1C1	OR1C1
OR9H1P	OR9H1P
OR14A16	OR14A16
HSD17B7P1	HSD17B7P1
OR6R1P	OR6R1P
OR11L1	OR11L1
TRIM58	TRIM58
OR2W3	OR2W3
OR2T8	OR2T8
OR2AJ1	OR2AJ1
CLK3P2	CLK3P2
OR2X1P	OR2X1P
OR2L8	OR2L8
OR2AK2	OR2AK2
OR2L9P	OR2L9P
OR2L1P	OR2L1P
OR2L6P	OR2L6P
OR2L5	OR2L5
OR2L2	OR2L2
OR2L3	OR2L3
OR2T32P	OR2T32P
OR2L13	OR2L13
OR2M1P	OR2M1P
OR2M5	OR2M5
OR2M2	OR2M2
OR2M3	OR2M3
OR2M4	OR2M4
OR2T33	OR2T33
OR2T12	OR2T12
OR2M7	OR2M7
OR14C36	OR14C36
OR2T4	OR2T4
OR2T6	OR2T6
OR2T1	OR2T1
OR2T7	OR2T7
OR2T2	OR2T2
OR2T3	OR2T3
RP11-407H12.8	RP11-407H12.8
OR2T5	OR2T5
OR2AS2P	OR2AS2P
OR2G6	OR2G6
RP11-438F14.3	RP11-438F14.3
OR2AS1P	OR2AS1P
OR2T29	OR2T29
OR2T34	OR2T34
OR2T10	OR2T10
RP11-438F14.10	RP11-438F14.10
OR2T11	OR2T11
OR2T35	OR2T35
OR2T27	OR2T27
OR14I1	OR14I1
XX-CR54.1	XX-CR54.1
WI2-2118C23.2	WI2-2118C23.2
LYPD8	LYPD8
AHCYP8	AHCYP8
AL672296.1	AL672296.1
SH3BP5L	SH3BP5L
MIR3124	MIR3124
ZNF672	ZNF672
ZNF692	ZNF692
AL672294.1	AL672294.1
PGBD2	PGBD2
RNU6-1205P	RNU6-1205P
RPL23AP25	RPL23AP25
FAM110C	FAM110C
AC079779.7	AC079779.7
SH3YL1	SH3YL1
ACP1	ACP1
FAM150B	ALKAL2
AC079779.4	AC079779.4
AC079779.5	AC079779.5
RP11-356M6.1	RP11-356M6.1
AC079779.6	AC079779.6
AC105393.1	AC105393.1
AC105393.2	AC105393.2
AC093326.1	AC093326.1
AC093326.2	AC093326.2
AC093326.3	AC093326.3
TMEM18	TMEM18
AC092159.2	AC092159.2
AC092159.1	AC092159.1
AC092159.3	AC092159.3
AC116609.1	AC116609.1
RP13-539J13.1	RP13-539J13.1
AC116609.3	AC116609.3
AC116609.2	AC116609.2
LINC01115	LINC01115
AC113607.2	AC113607.2
AC113607.3	AC113607.3
AC116614.1	AC116614.1
SNTG2	SNTG2
AC114808.3	AC114808.3
AC114808.2	AC114808.2
AC108462.1	AC108462.1
TPO	TPO
AC144450.1	AC144450.1
AC141930.2	AC141930.2
AC144450.2	AC144450.2
PXDN	PXDN
MYT1L	MYT1L
AC093390.1	AC093390.1
MYT1L-AS1	MYT1L-AS1
AC018685.1	AC018685.1
AC018685.2	AC018685.2
AC011995.1	AC011995.1
AC011995.3	AC011995.3
LINC01250	LINC01250
AC019118.3	AC019118.3
AC019118.4	AC019118.4
TSSC1	EIPR1
TSSC1-IT1	EIPR1-IT1
TRAPPC12	TRAPPC12
TRAPPC12-AS1	TRAPPC12-AS1
RP11-1293J14.1	RP11-1293J14.1
ADI1	ADI1
AC142528.1	AC142528.1
AC108488.4	AC108488.4
RP13-512J5.1	RP13-512J5.1
RNASEH1	RNASEH1
RNASEH1-AS1	RNASEH1-AS1
RPS7	RPS7
COLEC11	COLEC11
AC010907.2	AC010907.2
TMSB4XP2	TMSB4XP2
ALLC	ALLC
GAPDHP48	GAPDHP48
AC010907.5	AC010907.5
DCDC2C	DCDC2C
AC019172.2	AC019172.2
LINC01304	LINC01304
AC012445.1	AC012445.1
NPM1P48	NPM1P48
LINC01249	LINC01249
RNU6-649P	RNU6-649P
AC073143.1	AC073143.1
AC107057.1	AC107057.1
LINC01248	LINC01248
AC108025.2	AC108025.2
SOX11	SOX11
AC010729.1	AC010729.1
AC010729.2	AC010729.2
AC010729.3	AC010729.3
LINC01105	LINC01105
MIR7158	MIR7158
AC017053.1	AC017053.1
LINC01247	LINC01247
AC021021.1	AC021021.1
AC021021.2	AC021021.2
MIR7515HG	MIR7515HG
MIR7515	MIR7515
LINC00487	LINC00487
NRIR	NRIR
CMPK2	CMPK2
RSAD2	RSAD2
RP11-439M11.1	RP11-439M11.1
RNF144A-AS1	RNF144A-AS1
RNF144A	RNF144A
AC019048.1	AC019048.1
RN7SKP112	RN7SKP112
RP11-557L19.1	RP11-557L19.1
AC010904.1	AC010904.1
AC013460.1	AC013460.1
RNU6ATAC37P	RNU6ATAC37P
AC092580.3	AC092580.3
AC092580.4	AC092580.4
AC092580.2	AC092580.2
AC092580.1	AC092580.1
AC007463.2	AC007463.2
LINC00298	LINC00298
LINC00299	LINC00299
U91324.1	U91324.1
AC011747.3	AC011747.3
AC011747.4	AC011747.4
AC011747.6	AC011747.6
SNRPEP5	SNRPEP5
ID2-AS1	ID2-AS1
ID2	ID2
RP11-434B12.1	RP11-434B12.1
KIDINS220	KIDINS220
MBOAT2	MBOAT2
HMGB1P25	HMGB1P25
RPL30P3	RPL30P3
RP11-734K21.2	RP11-734K21.2
RP11-734K21.5	RP11-734K21.5
RP11-734K21.3	RP11-734K21.3
RP11-734K21.4	RP11-734K21.4
ASAP2	ASAP2
EIF1P7	EIF1P7
ITGB1BP1	ITGB1BP1
CPSF3	CPSF3
IAH1	IAH1
ADAM17	ADAM17
RP11-400L8.2	RP11-400L8.2
RP11-214N9.1	RP11-214N9.1
YWHAQ	YWHAQ
RP11-521D12.1	RP11-521D12.1
RP11-521D12.2	RP11-521D12.2
RNU4-73P	RNU4-73P
RP11-521D12.4	RP11-521D12.4
RP11-521D12.5	RP11-521D12.5
TAF1B	TAF1B
RP11-95D17.1	RP11-95D17.1
GRHL1	GRHL1
AC010969.1	AC010969.1
RP11-254F7.1	RP11-254F7.1
RP11-254F7.2	RP11-254F7.2
KLF11	KLF11
RP11-254F7.3	RP11-254F7.3
CYS1	CYS1
AC104794.4	AC104794.4
RP11-254F7.4	RP11-254F7.4
RRM2	RRM2
C2orf48	C2orf48
MIR4261	MIR4261
RN7SL66P	RN7SL66P
HPCAL1	HPCAL1
ODC1	ODC1
SNORA80B	SNORA80B
RP11-320M2.1	RP11-320M2.1
AC007249.3	AC007249.3
NOL10	NOL10
AC092687.5	AC092687.5
RN7SL832P	RN7SL832P
AC092687.3	AC092687.3
ATP6V1C2	ATP6V1C2
RNU7-138P	RNU7-138P
RP11-791G15.2	RP11-791G15.2
PDIA6	PDIA6
RNU7-176P	RNU7-176P
AC092687.4	AC092687.4
RP11-245G13.1	RP11-245G13.1
RP11-245G13.2	RP11-245G13.2
KCNF1	KCNF1
RP11-345J13.1	RP11-345J13.1
AC062028.1	AC062028.1
C2orf50	C2orf50
PQLC3	PQLC3
ROCK2	ROCK2
RNU6-1081P	RNU6-1081P
AC018463.4	AC018463.4
AC018463.5	AC018463.5
AC099344.2	AC099344.2
AC099344.3	AC099344.3
LINC00570	LINC00570
E2F6	E2F6
GREB1	GREB1
RNA5SP84	RNA5SP84
MIR4429	MIR4429
RNU2-13P	RNU2-13P
RNA5SP85	RNA5SP85
RN7SL674P	RN7SL674P
NTSR2	NTSR2
AC110754.3	AC110754.3
RP11-494G9.1	RP11-494G9.1
LPIN1	LPIN1
AC106875.1	AC106875.1
AC012456.3	AC012456.3
AC012456.4	AC012456.4
MIR548S	MIR548S
MIR4262	MIR4262
MIR3681HG	MIR3681HG
SNORD18	SNORD18
MIR3681	MIR3681
RNU6-843P	RNU6-843P
AC096559.2	AC096559.2
RP11-333O1.1	RP11-333O1.1
TRIB2	TRIB2
MIR3125	MIR3125
AC064875.2	AC064875.2
AC092635.1	AC092635.1
LINC00276	LINC00276
AC016730.1	AC016730.1
RNU6-1288P	RNU6-1288P
AC011897.2	AC011897.2
FAM84A	FAM84A
AC068286.1	AC068286.1
NBAS	NBAS
RP11-32P22.1	RP11-32P22.1
AC008278.2	AC008278.2
DDX1	DDX1
AC008278.3	AC008278.3
AC008271.1	AC008271.1
AC113608.1	AC113608.1
RNU5E-7P	RNU5E-7P
RP11-120J4.1	RP11-120J4.1
MYCNUT	MYCNUT
MYCNOS	MYCNOS
MYCN	MYCN
RN7SL104P	RN7SL104P
AC010145.4	AC010145.4
GACAT3	GACAT3
AC142119.1	AC142119.1
WI2-2221J1.1	WI2-2221J1.1
AC010745.1	AC010745.1
AC010745.2	AC010745.2
AC010745.3	AC010745.3
AC010745.4	AC010745.4
AC010880.1	AC010880.1
AC104623.2	AC104623.2
RP11-542H15.1	RP11-542H15.1
FAM49A	FAM49A
AC008069.1	AC008069.1
AC008069.2	AC008069.2
AC080094.1	AC080094.1
RN7SKP168	RN7SKP168
ZFYVE9P2	ZFYVE9P2
PSMC1P10	PSMC1P10
RAD51AP2	RAD51AP2
VSNL1	VSNL1
SMC6	SMC6
GEN1	GEN1
MSGN1	MSGN1
KCNS3	KCNS3
RP11-111J6.2	RP11-111J6.2
RDH14	RDH14
NT5C1B-RDH14	NT5C1B-RDH14
NT5C1B	NT5C1B
RNU6-1215P	RNU6-1215P
AC106053.1	AC106053.1
LINC01376	LINC01376
MIR4757	MIR4757
OSR1	OSR1
AC010096.1	AC010096.1
AC010096.2	AC010096.2
AC019055.1	AC019055.1
CISD1P1	CISD1P1
LINC00954	LINC00954
TTC32	TTC32
RP11-79O8.1	RP11-79O8.1
WDR35	WDR35
AC079145.4	AC079145.4
MATN3	MATN3
LAPTM4A	LAPTM4A
RP11-644K8.1	RP11-644K8.1
AC098828.2	AC098828.2
AC098828.3	AC098828.3
RN7SL140P	RN7SL140P
RNU6-961P	RNU6-961P
SDC1	SDC1
AC007041.2	AC007041.2
RNU7-113P	RNU7-113P
PUM2	PUM2
SLC7A15P	SLC7A15P
RNA5SP86	RNA5SP86
RHOB	RHOB
AC023137.2	AC023137.2
AC012065.4	AC012065.4
RP11-130L8.3	RP11-130L8.3
HS1BP3	HS1BP3
RP11-130L8.2	RP11-130L8.2
HS1BP3-IT1	HS1BP3-IT1
AC012065.5	AC012065.5
GDF7	GDF7
RP11-130L8.1	RP11-130L8.1
LDAH	LDAH
AC012361.1	AC012361.1
RP11-116D2.1	RP11-116D2.1
APOB	APOB
AC010872.1	AC010872.1
TDRD15	TDRD15
RP11-79J24.1	RP11-79J24.1
AC067959.1	AC067959.1
AC011752.1	AC011752.1
NUTF2P8	NUTF2P8
AC009411.2	AC009411.2
AC009411.1	AC009411.1
AC018742.1	AC018742.1
