old	new
RP11-542C10.1	RP11-542C10.1
RP1-58B11.1	RP1-58B11.1
RP3-491M17.1	RP3-491M17.1
RP11-154H17.1	RP11-154H17.1
MIR4417	MIR4417
MIR4689	MIR4689
NPHP4	NPHP4
KCNAB2	KCNAB2
CHD5	CHD5
RPL22	RPL22
RP1-120G22.11	RP1-120G22.11
RNF207	RNF207
ICMT	ICMT
LINC00337	LINC00337
HES3	HES3
GPR153	GPR153
ACOT7	ACOT7
RP1-202O8.3	RP1-202O8.3
HES2	HES2
ESPN	ESPN
MIR4252	MIR4252
RP1-202O8.2	RP1-202O8.2
TNFRSF25	TNFRSF25
PLEKHG5	PLEKHG5
NOL9	NOL9
RNU6-731P	RNU6-731P
RP11-58A11.2	RP11-58A11.2
TAS1R1	TAS1R1
ZBTB48	ZBTB48
KLHL21	KLHL21
PHF13	PHF13
THAP3	THAP3
DNAJC11	DNAJC11
RP11-242F24.1	RP11-242F24.1
RP11-312B8.1	RP11-312B8.1
CAMTA1	CAMTA1
RP11-312B8.2	RP11-312B8.2
RP11-334N17.1	RP11-334N17.1
RNU1-8P	RNU1-8P
CAMTA1-IT1	CAMTA1-IT1
RP3-453P22.2	RP3-453P22.2
RP4-549F15.1	RP4-549F15.1
RP11-338N10.1	RP11-338N10.1
RP11-338N10.2	RP11-338N10.2
RP11-338N10.3	RP11-338N10.3
VAMP3	VAMP3
RP3-467L1.6	RP3-467L1.6
PER3	PER3
RP3-467L1.4	RP3-467L1.4
UTS2	UTS2
TNFRSF9	TNFRSF9
RP5-892F13.2	RP5-892F13.2
PARK7	PARK7
Y_RNA	Y_RNA
ERRFI1	ERRFI1
RP11-431K24.1	RP11-431K24.1
CTA-215D11.4	CTA-215D11.4
RP11-431K24.2	RP11-431K24.2
RP11-431K24.3	RP11-431K24.3
RNU1-7P	RNU1-7P
RP11-431K24.4	RP11-431K24.4
RNU6-991P	RNU6-991P
SLC45A1	SLC45A1
RERE	RERE
RP5-1115A15.1	RP5-1115A15.1
SNORA77	SNORA77
RP5-1115A15.2	RP5-1115A15.2
RPL7P11	RPL7P11
RPL7P7	RPL7P7
RP4-633I8.3	RP4-633I8.3
RP4-633I8.4	RP4-633I8.4
RPL23AP19	RPL23AP19
ENO1	ENO1
MIR6728	MIR6728
ENO1-IT1	ENO1-IT1
ENO1-AS1	ENO1-AS1
RNU6-304P	RNU6-304P
HMGN2P17	HMGN2P17
RP3-477M7.5	RP3-477M7.5
RP3-477M7.6	RP3-477M7.6
CA6	CA6
RN7SL451P	RN7SL451P
SLC2A7	SLC2A7
SLC2A5	SLC2A5
SCARNA16	SCARNA16
GPR157	GPR157
MIR34A	MIR34A
RP3-510D11.2	RP3-510D11.2
RP3-510D11.4	RP3-510D11.4
H6PD	H6PD
SPSB1	SPSB1
RNA5SP40	RNA5SP40
RP13-392I16.1	RP13-392I16.1
SLC25A33	SLC25A33
RP13-15M17.1	RP13-15M17.1
TMEM201	TMEM201
PIK3CD	PIK3CD
PIK3CD-AS1	PIK3CD-AS1
RP11-558F24.2	RP11-558F24.2
PIK3CD-AS2	PIK3CD-AS2
CLSTN1	CLSTN1
MZT1P1	MZT1P1
AL357140.1	AL357140.1
CTNNBIP1	CTNNBIP1
RP11-84A14.5	RP11-84A14.5
LZIC	LZIC
RP11-84A14.4	RP11-84A14.4
NMNAT1	NMNAT1
RN7SKP269	RN7SKP269
RP11-84A14.6	RP11-84A14.6
MIR5697	MIR5697
RP11-807G9.2	RP11-807G9.2
RBP7	RBP7
UBE4B	UBE4B
RP11-496H15.2	RP11-496H15.2
PGAM1P11	PGAM1P11
RNU6-828P	RNU6-828P
KIF1B	KIF1B
MIR1273D	MIR1273D
RNU6-37P	RNU6-37P
RN7SL731P	RN7SL731P
PGD	PGD
RP4-736L20.3	RP4-736L20.3
APITD1-CORT	CENPS-CORT
APITD1	CENPS
CORT	CORT
DFFA	DFFA
RP5-1113E3.3	RP5-1113E3.3
PEX14	PEX14
RN7SL614P	RN7SL614P
CASZ1	CASZ1
RP4-734G22.3	RP4-734G22.3
HSPE1P24	HSPE1P24
C1orf127	C1orf127
CFL1P6	CFL1P6
TARDBP	TARDBP
RP4-635E18.9	RP4-635E18.9
MASP2	MASP2
RP4-635E18.8	RP4-635E18.8
SRM	SRM
EXOSC10	EXOSC10
RP4-635E18.7	RP4-635E18.7
RP4-635E18.6	RP4-635E18.6
MTOR	MTOR
MTOR-AS1	MTOR-AS1
RNU6-537P	RNU6-537P
ANGPTL7	ANGPTL7
RNU6-291P	RNU6-291P
RPL39P6	RPL39P6
UBIAD1	UBIAD1
UBE2V2P3	UBE2V2P3
RP11-149P14.1	RP11-149P14.1
DISP3	DISP3
RP1-69M21.2	RP1-69M21.2
FBXO2	FBXO2
FBXO44	FBXO44
FBXO6	FBXO6
MAD2L2	MAD2L2
DRAXIN	DRAXIN
AGTRAP	AGTRAP
C1orf167	C1orf167
RP11-56N19.5	RP11-56N19.5
MTHFR	MTHFR
CLCN6	CLCN6
NPPA-AS1	NPPA-AS1
NPPA-AS1_1	NPPA-AS1_1
NPPA-AS1_2	NPPA-AS1_2
NPPA	NPPA
NPPA-AS1_3	NPPA-AS1_3
NPPB	NPPB
RP5-934G17.6	RP5-934G17.6
RNU5E-1	RNU5E-1
RNU5E-4P	RNU5E-4P
KIAA2013	KIAA2013
PLOD1	PLOD1
MFN2	MFN2
RP5-1077B9.5	RP5-1077B9.5
MIIP	MIIP
MIR6729	MIR6729
RN7SL649P	RN7SL649P
TNFRSF8	TNFRSF8
RNU6-777P	RNU6-777P
RPL23AP89	RPL23AP89
TNFRSF1B	TNFRSF1B
MIR4632	MIR4632
RP5-1118D24.2	RP5-1118D24.2
SNORA70	SNORA70
VPS13D	VPS13D
SNORA59A	SNORA59A
RP5-888M10.2	RP5-888M10.2
DHRS3	DHRS3
RNU6ATAC18P	RNU6ATAC18P
MIR6730	MIR6730
RP11-474O21.5	RP11-474O21.5
AADACL4	AADACL4
RP11-474O21.2	RP11-474O21.2
AADACL3	AADACL3
C1orf158	C1orf158
PRAMEF12	PRAMEF12
PRAMEF1	PRAMEF1
RP5-845O24.8	RP5-845O24.8
PRAMEF11	PRAMEF11
PRAMEF30P	PRAMEF30P
HNRNPCL1	HNRNPCL1
PRAMEF2	PRAMEF2
PRAMEF4	PRAMEF4
PRAMEF10	PRAMEF10
PRAMEF7	PRAMEF7
RNU6-1072P	RNU6-1072P
PRAMEF29P	PRAMEF29P
PRAMEF6	PRAMEF6
PRAMEF28	PRAMEF28P
PRAMEF27	PRAMEF27
PRAMEF25	PRAMEF25
HNRNPCL3	HNRNPCL3
PRAMEF34P	PRAMEF34P
PRAMEF35P	PRAMEF35P
HNRNPCL2	HNRNPCL2
PRAMEF36P	PRAMEF36P
RP13-221M14.2	RP13-221M14.2
PRAMEF26	PRAMEF26
HNRNPCL4	HNRNPCL4
PRAMEF9	PRAMEF9
PRAMEF13	PRAMEF13
PRAMEF18	PRAMEF18
PRAMEF31P	PRAMEF31P
PRAMEF5	PRAMEF5
PRAMEF32P	PRAMEF32P
RNU6-443P	RNU6-443P
PRAMEF8	PRAMEF8
PRAMEF15	PRAMEF15
PRAMEF33P	PRAMEF33
RP11-219C24.10	RP11-219C24.10
PRAMEF14	PRAMEF14
PRAMEF19	PRAMEF19
PRAMEF17	PRAMEF17
PRAMEF20	PRAMEF20
LRRC38	LRRC38
RP4-597A16.2	RP4-597A16.2
BRWD1P1	BRWD1P1
PDPN	PDPN
RNA5SP41	RNA5SP41
CTA-520D8.2	CTA-520D8.2
SCARNA11	SCARNA11
PRDM2	PRDM2
KAZN	KAZN
RNU6-1265P	RNU6-1265P
RP11-344F13.1	RP11-344F13.1
RP4-704D23.1	RP4-704D23.1
TBCAP2	TBCAP2
TMEM51-AS1	TMEM51-AS1
TMEM51	TMEM51
C1orf195	C1orf195
RP1-21O18.3	RP1-21O18.3
RP5-903E17.2	RP5-903E17.2
FHAD1	FHAD1
RP3-467K16.2	RP3-467K16.2
RP3-467K16.7	RP3-467K16.7
RP3-467K16.4	RP3-467K16.4
EFHD2	EFHD2
CTRC	CTRC
CELA2A	CELA2A
CELA2B	CELA2B
CASP9	CASP9
DNAJC16	DNAJC16
SCARNA21	SCARNA21
RP4-680D5.8	RP4-680D5.8
AGMAT	AGMAT
RP4-680D5.2	RP4-680D5.2
CHCHD2P6	CHCHD2P6
RNU7-179P	RNU7-179P
RP4-680D5.4	RP4-680D5.4
DDI2	DDI2
RSC1A1	RSC1A1
RP4-680D5.9	RP4-680D5.9
PLEKHM2	PLEKHM2
RP11-288I21.1	RP11-288I21.1
SLC25A34	SLC25A34
RP11-169K16.4	RP11-169K16.4
TMEM82	TMEM82
FBLIM1	FBLIM1
RPL12P14	RPL12P14
UQCRHL	UQCRHL
RP11-169K16.8	RP11-169K16.8
FLJ37453	FLJ37453
SPEN	SPEN
RP1-134O19.3	RP1-134O19.3
ZBTB17	ZBTB17
RP11-5P18.1	RP11-5P18.1
RP11-5P18.3	RP11-5P18.3
RP11-5P18.11	RP11-5P18.11
TBC1D3P6	TBC1D3P6
C1orf64	SRARP
RP11-5P18.5	RP11-5P18.5
HSPB7	HSPB7
CLCNKA	CLCNKA
RP11-5P18.10	RP11-5P18.10
CLCNKB	CLCNKB
FAM131C	FAM131C
EPHA2	EPHA2
RP11-276H7.2	RP11-276H7.2
RP11-276H7.3	RP11-276H7.3
ARHGEF19-AS1	ARHGEF19-AS1
ARHGEF19	ARHGEF19
ANO7P1	ANO7L1
RSG1	CPLANE2
MT1XP1	MT1XP1
FBXO42	FBXO42
SZRD1	SZRD1
RP11-430L17.1	RP11-430L17.1
SPATA21	SPATA21
NECAP2	NECAP2
RP4-798A10.2	RP4-798A10.2
CROCCP3	CROCCP3
RNU1-1	RNU1-1
RP4-798A10.7	RP4-798A10.7
RP4-798A10.4	RP4-798A10.4
RP5-875O13.1	RP5-875O13.1
RNU1-6P	RNU1-6P
FAM231B	FAM231BP
RP5-875O13.6	RP5-875O13.6
NBPF1	NBPF1
RP5-1182A14.5	RP5-1182A14.5
CROCCP2	CROCCP2
MST1P2	MST1P2
RP1-163M9.8	RP1-163M9.8
RNU1-3	RNU1-3
FAM231A	FAM231AP
RP5-875O13.7	RP5-875O13.7
EIF1AXP1	EIF1AXP1
ESPNP	ESPNP
RP1-163M9.7	RP1-163M9.7
FAM231C	FAM231C
RP5-1182A14.7	RP5-1182A14.7
CROCC	CROCC
CROCCP4	CROCCP4
RNU1-4	RNU1-4
MST1L	MST1L
RP11-108M9.1	RP11-108M9.1
RP11-108M9.2	RP11-108M9.2
MIR3675	MIR3675
RP11-108M9.3	RP11-108M9.3
RNU1-5P	RNU1-5P
RP11-108M9.4	RP11-108M9.4
RP11-108M9.5	RP11-108M9.5
RNU1-2	RNU1-2
RP11-108M9.6	RP11-108M9.6
MFAP2	MFAP2
RP1-37C10.3	RP1-37C10.3
ATP13A2	ATP13A2
SDHB	SDHB
PADI2	PADI2
RP11-380J14.1	RP11-380J14.1
RP11-380J14.4	RP11-380J14.4
PADI1	PADI1
PADI3	PADI3
MIR3972	MIR3972
PADI4	PADI4
AC004824.1	AC004824.1
PADI6	PADI6
RP1-20B21.4	RP1-20B21.4
RCC2	RCC2
ARHGEF10L	ARHGEF10L
RP11-473A10.2	RP11-473A10.2
ACTL8	ACTL8
RP11-174G17.2	RP11-174G17.2
IGSF21	IGSF21
RP11-174G17.3	RP11-174G17.3
RP11-174G17	RP11-174G17
RP11-422P22.1	RP11-422P22.1
KLHDC7A	KLHDC7A
DYNLL1P3	DYNLL1P3
RP1-8B22.2	RP1-8B22.2
PAX7	PAX7
TAS1R2	TAS1R2
RP13-279N23.2	RP13-279N23.2
ALDH4A1	ALDH4A1
MIR4695	MIR4695
MIR1290	MIR1290
IFFO2	IFFO2
RP5-1126H10.2	RP5-1126H10.2
UBR4	UBR4
RP1-43E13.2	RP1-43E13.2
EMC1	EMC1
MRTO4	MRTO4
AKR7L	AKR7L
AKR7A3	AKR7A3
RP4-657E11.10	RP4-657E11.10
AKR7A2	AKR7A2
RNU6-1099P	RNU6-1099P
PQLC2	PQLC2
CAPZB	CAPZB
RN7SL277P	RN7SL277P
RNU4-28P	RNU4-28P
RP5-1056L3.1	RP5-1056L3.1
MINOS1	MINOS1
MINOS1-NBL1	MINOS1-NBL1
RP5-1056L3.3	RP5-1056L3.3
NBL1	NBL1
HTR6	HTR6
TMCO4	TMCO4
RNF186	RNF186
RP11-91K11.2	RP11-91K11.2
OTUD3	OTUD3
PLA2G2E	PLA2G2E
RN7SL304P	RN7SL304P
PLA2G2A	PLA2G2A
PLA2G5	PLA2G5
PLA2G2D	PLA2G2D
